FooBarWidget/rubyenterpriseedition,118,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-20473-u5o8er/rubyenterpriseedition-master/lib/rdoc/parsers/parse_f95.rb:358 `parse_program_or_module'
rubinius/rubinius,92,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130429-66212-1770lt5/rubinius-master/lib/18/rexml/xpath_parser.rb:156 `expr'
jsn/rbot,92,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-20473-1a77qxv/rbot-master/lib/rbot/rfc2812.rb:1034 `process'
evan/echoe,76,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-20473-17w061a/echoe-master/lib/echoe.rb:342 `define_tasks'
omghax/sql,75,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-27955-16ca11y/sql-master/lib/sql/parser.rex.rb:44 `scan_evaluate'
look/acts_as_solr,75,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-27955-r5fv7y/acts_as_solr-master/lib/solr/request/standard.rb:45 `to_hash'
edavis10/redmine,68,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130501-79333-15btjrc/redmine-master/lib/plugins/rfpdf/lib/tcpdf.rb:3816 `openHTMLTagHandler'
luislavena/win32console,67,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-27955-1pswyri/win32console-master/lib/Win32/Console/ANSI.rb:160 `_PrintString'
chriseppstein/haml,64,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-27955-x70eeo/haml-master/lib/haml/precompiler.rb:703 `render_tag'
gammons/screwcap,62,/var/folders/ls/9bh0b9sj2tx8hdcb9zqkfz4r0000gn/T/d20130510-20473-1pyvhml/screwcap-master/lib/trollop.rb:125 `opt'
